Facility Type,Borough,Facility Name,Cross Streets,Phone,Location 1
Child Health Center,Manhattan,Dyckman Clinica De Las Americas,corner of Nagle Ave. and Dyckman St.,212-544-2001,"175 Nagle Avenue
New York, NY 10034
(40.861957938597, -73.92380763599)"
Child Health Center,Brooklyn,East New York Diagnostic & Treatment Center,,718-240-0400,"2094 Pitkin Avenue
Brooklyn, NY 11225
(40.671962495107, -73.89520529393)"
Child Health Center,Brooklyn,Brownsville Child Health Clinic,between Dumont Ave. & Blake Ave.,718-495-7283,"259 Bristol Street
Brooklyn, NY 11212
(40.664911170498, -73.911410916321)"
Acute Care Hospital,Brooklyn,Coney Island Hospital,,718-616-3000,"2601 Ocean Parkway
Brooklyn, NY 11235
(40.586645433957, -73.965830115778)"
Child Health Center,Brooklyn,Williamsburg Health Center,,718-963-7820,"279 Graham Avenue
Brooklyn, NY 11211
(40.712103238036, -73.943994071543)"
Child Health Center,Staten Island,Stapleton Child Health Clinic,between Water St. & Canal St.,718-390-0712,"111 Canal Street Staten Island
NY 10304
(40.626576449488, -74.076994470087)"
Child Health Center,Queens,Elmhurst Hospital Center,,718-334-4000,"79 01
Elmhurst, NY 11373
(40.738710402563, -73.878351155182)"
Child Health Center,Brooklyn,Homecrest Child Health Clinic,between E. 16th St. & E. 17th St.,718-339-6243,"1601 Avenue
Brooklyn, NY 11229
(40.601233507321, -73.944368541175)"
Child Health Center,Staten Island,Mariner's Harbor Houses Child Health Clinic,,718-761-2060,"2040 Forest Avenue Staten Island
NY 10303
(40.62609762251, -74.157474896698)"
Child Health Center,Manhattan,Judson Health Center,,212-925-5000,"34 Spring Street
New York, NY 10012
(40.721735692317, -73.995719412648)"
Child Health Center,Manhattan,Metropolitan Hospital Center,,212-423-6262,"1901 First Avenue
New York, NY 10029
(40.784557024105, -73.943795653643)"
Child Health Center,Bronx,Gunhill Health Center,between Paulding Ave. & Hone Ave.,718-918-8850,"1012 Gunhill Road
Bronx, NY 10469
(40.874626006887, -73.857887416826)"
Child Health Center,Brooklyn,Greenpoint Community Health Center,,718-630-3220,"875 Manhattan Avenue
Brooklyn, NY 11222
(40.729665609686, -73.954045460054)"
Acute Care Hospital,Queens,Queens Hospital Center,,718-883-3000,"82 70 164th Street
Jamaica, NY 11432
(40.71311535449, -73.792820999789)"
Diagnostic & Treatment Center,Manhattan,Gouverneur Healthcare Services,,212-238-7000,"227 Madison Street
New York, NY 10002
(40.712841397448, -73.987598534724)"
Child Health Center,Manhattan,Gouverneur Diagnostic & Treatment Center,,212-238-7200,"227 Madison Street
New York, NY 10002
(40.712841397448, -73.987598534724)"
Nursing Home,Manhattan,Gouverneur Healthcare Services,,212-238-7000,"227 Madison Street
New York, NY 10002
(40.712841397448, -73.987598534724)"
Child Health Center,Brooklyn,Fort Greene Child Health Clinic,between DeKalb Ave. & Willoughby Ave.,718-260-7500 ext. 7859,"295 Flatbush Avenue Extension
Brooklyn, NY 11201
(40.692053402323, -73.982413019989)"
Nursing Home,Manhattan,Coler-Goldwater Specialty Hospital and Nursing Facility/Goldwater Campus,,212-318-8000,"1 Main St Roosevelt Island
New York, NY 10044
(40.761976486226, -73.949999674945)"
Child Health Center,Brooklyn,Sutter Avenue Child Health Clinic,between Montauk Ave. & Atkins Ave.,718-647-0800,"1091 Sutter Avenue
Brooklyn, NY 11208
(40.67189903622, -73.878318817943)"
Child Health Center,Manhattan,Drew Hamilton Houses Health Center,between W. 143rd St. & W. 144th St.,212-939-8950,"2698 Eighth Avenue
New York, NY 10030
(40.822139979421, -73.942389748859)"
Child Health Center,Queens,Woodside Houses Child Health Clinic,between Northern Blvd. & 50th St.,718-334-6140,"50 53 Newtown Road
Woodside, NY 11377
(40.745193764481, -73.90484714408)"
Acute Care Hospital,Bronx,Lincoln Medical and Mental Health Center,,718-579-5000,"234 149th Street
Bronx, NY 10451
(40.817688484049, -73.924200271483)"
Acute Care Hospital,Manhattan,Harlem Hospital Center,,212-939-1000,"506 Lenox Avenue
New York, NY 10037
(40.814275217502, -73.940602831291)"
Child Health Center,Brooklyn,Coney Island Hospital,,718-616-3000,"2601 Ocean Parkway
Brooklyn, NY 11235
(40.586645433957, -73.965830115778)"
Child Health Center,Bronx,Health Center at Tremont,corner of 175th St.,718-918-8700,"1826 Arthur Avenue
Bronx, NY 10457
(40.844000208275, -73.894548724404)"
Child Health Center,Bronx,North Central Bronx Hospital,,718-519-5000,"3424 Kossuth Avenue
Bronx, NY 10467
(40.880463372456, -73.881592877502)"
Child Health Center,Brooklyn,Crown Heights Child Health Clinic,,718-735-0561,"1218 Prospect Place
Brooklyn, NY 11213
(40.673492222873, -73.935701697386)"
Child Health Center,Manhattan,Baruch Houses Family Health Center,corner of Columbia St.,212-673-5990,"280 Delancey Street
New York, NY 10002
(40.716367017869, -73.980135660503)"
Child Health Center,Manhattan,Manhattanville/St. Nicholas Houses Child Health Care Center,between A.C. Powell & F. Douglas Blvds.,212-865-1300,"281 127th Street
New York, NY 10027
(40.811276995393, -73.949657755163)"
Child Health Center,Brooklyn,Sumner Avenue Houses Child Health Clinic,between Myrtle Ave. & Park Ave.,718-455-3884,"47 Marcus Garvey Boulevard
Brooklyn, NY 11206
(40.697855287659, -73.941006610822)"
Acute Care Hospital,Brooklyn,Woodhull Medical and Mental Health Center,,718-963-8000,"760 Broadway
Brooklyn, NY 11206
(40.70052661478, -73.941643858765)"
Child Health Center,Brooklyn,Bushwick Community Health Center,,718-919-1200,"1420 Bushwick Avenue
Brooklyn, NY 11207
(40.684303566262, -73.909082385178)"
Child Health Center,Manhattan,Bellevue Hospital Center,,212-562-4141,"462 First Avenue
New York, NY 10016
(40.73962320748, -73.976572846645)"
Child Health Center,Queens,Ridgewood Communicare Clinic,between Woodbine St. & Madison St.,718-334-6190,"769 Onderdonk Avenue
Ridgewood, NY 11385
(40.702949636008, -73.90543308997)"
Child Health Center,Manhattan,Smith Communicare Health Center,corner of Catherine St.,212-346-0500,"60 Madison Street
New York, NY 10038
(40.711969729879, -73.997542215578)"
Child Health Center,Bronx,Morrisania Diagnostic & Treatment Center,,718-960-2777,"1225 Gerard Avenue
Bronx, NY 10452
(40.835906387949, -73.920034037019)"
