the_geom,OBJECTID,LOCATION,GISPROPNUM,COUNCILDIS,BOROUGH,NAME,POOLTYPE,SHAPE_STAr,SHAPE_STLe
"MULTIPOLYGON (((-73.88626280458823 40.84670312461, -73.88618870578074 40.846669868360316, -73.8862351500453 40.8466136018469, -73.88630395120147 40.84664785959683, -73.88626280458823 40.84670312461)))",215,Outdoor,X236,15,X,Mapes Pool,Wading,550.665802002,93.9011378513
"MULTIPOLYGON (((-73.94230554317237 40.82469081918041, -73.9424361262852 40.824514932971155, -73.94243612702446 40.82451407840103, -73.94243950179134 40.82451151727466, -73.94244062795035 40.82451151783678, -73.94244287700418 40.82450981071888, -73.94244625073935 40.824509812402766, -73.94244737526662 40.824508958393544, -73.94245299776338 40.82450896119954, -73.94245412081243 40.824509816330455, -73.94245749454761 40.82450981801401, -73.94245974183211 40.82451152737589, -73.94246086562023 40.824511527936636, -73.94263845729289 40.82458592712535, -73.94264070532127 40.82458678191354, -73.94264182882367 40.824588490712856, -73.9426440768521 40.82458934550099, -73.94264520035462 40.82459105430027, -73.94264632340675 40.82459191032979, -73.94264744691014 40.82459361822856, -73.9426474454378 40.8245953264683, -73.94264856730534 40.8245961815967, -73.94264856583304 40.824597889836454, -73.94264969052124 40.82459959863623, -73.94264968610439 40.824604723355435, -73.9426485584715 40.82460643103505, -73.94264855773497 40.82460728560517, -73.94264743365835 40.82460899328659, -73.94260803429154 40.82466022179822, -73.94241568194373 40.824752372688764, -73.94240443542972 40.82475407621302, -73.94231789081041 40.82471388795409, -73.94231564278267 40.82471303225913, -73.94231339549506 40.82471132289451, -73.94231227199909 40.824709614092036, -73.94231002589788 40.824707903827445, -73.9423066554105 40.8247027774199, -73.94230665689003 40.82470107098121, -73.94230553576679 40.8246993603789, -73.94230554317237 40.82469081918041)))",216,Outdoor,M014,7,M,Jackie Robinson,Wading,4793.65260315,273.35995006
"MULTIPOLYGON (((-74.00309509714769 40.64695344205746, -74.00276651438047 40.64675699345922, -74.00280239850149 40.646723680634004, -74.00281473393123 40.646714284329484, -74.0028281901511 40.646704887996066, -74.00284276841563 40.64669720171673, -74.00285846747002 40.64668951270617, -74.00287416659441 40.6466835328763, -74.00289098772839 40.64667840760757, -74.00290780775194 40.64667499061878, -74.00292575096883 40.6466724290909, -74.00294369303963 40.646670718549636, -74.00296163514754 40.64666986529858, -74.00297957851343 40.64667071762551, -74.002996399943 40.646672427271874, -74.00301434224355 40.646675842467204, -74.00303116379159 40.646680112280784, -74.00304798419864 40.64668523668334, -74.00306368503642 40.64669121570472, -74.00307826398016 40.64669890303634, -74.00309284060226 40.64670744405709, -74.00310629998125 40.64671598600671, -74.00311863510274 40.646726234466556, -74.00313882226052 40.646748442488644, -74.00314667193129 40.64676040025067, -74.00315452282749 40.64677321260351, -74.00316012977237 40.64678602501755, -74.0031634951696 40.64679969118386, -74.0031657385501 40.64681250369001, -74.0031668599941 40.64682616991794, -74.00316686064279 40.64683983707722, -74.00316461969938 40.64685350339766, -74.00316125559422 40.64686716974889, -74.00315564985426 40.64687998247065, -74.00314892095084 40.64689279432235, -74.0031410723901 40.64690475341383, -74.00313210184709 40.646916711634795, -74.00312200928134 40.64692781619463, -74.00309509714769 40.64695344205746)))",217,Outdoor,B087,38,B,Sunset,Wading,6680.49841309,322.347484536
"MULTIPOLYGON (((-73.77160741943847 40.756945945270054, -73.77154389134216 40.756921070634505, -73.77160785144471 40.75681995153123, -73.77167285589117 40.756845953792954, -73.77160741943847 40.756945945270054)))",246,Outdoor,Q364,19,Q,Marie Curie Park Pool,Mini,818.404922485,121.71769667
"MULTIPOLYGON (((-74.00202304319643 40.64748987735206, -74.0023291977009 40.647672661356786, -74.00233143938019 40.64767436959355, -74.00233256143206 40.647676077853006, -74.00233368345404 40.64767693152107, -74.00233368348393 40.647677786112396, -74.00233480435365 40.64767949437183, -74.00233480465255 40.64768803578275, -74.00233256190982 40.64768974411043, -74.00233256196957 40.64769145239263, -74.00232919844638 40.6476940153343, -74.00230677006473 40.647717931736864, -74.00229443558956 40.64772818167668, -74.00226752134266 40.647745265932706, -74.00223612253993 40.64775893370537, -74.0022204218945 40.647764057955555, -74.00220360158941 40.64776832853426, -74.00218565923247 40.64777089175015, -74.00216883768559 40.6477734549421, -74.00215089408853 40.64777430987045, -74.0021329504637 40.647774310204646, -74.00211612996075 40.6477726013327, -74.0020981874381 40.64777003968843, -74.00208136570154 40.647766623429746, -74.0020645439403 40.647762352577274, -74.00204772212878 40.6477563743407, -74.00203314430709 40.647750395161474, -74.002018565254 40.64774270769828, -74.00200398617865 40.647734166542364, -74.00199165106756 40.64772477165498, -74.00197931356993 40.64771452217489, -74.00196922124366 40.647704271754584, -74.00195912768807 40.647692313951715, -74.00195127814546 40.64768120980071, -74.0019445481832 40.64766839734803, -74.0019389413976 40.647655584876055, -74.00193445542354 40.64764277418595, -74.00193221104456 40.647629107065626, -74.0019310910222 40.64761543992637, -74.00193109062666 40.64760177366878, -74.00193220988191 40.6475889601827, -74.00193557545751 40.647575294769034, -74.00194005949997 40.64756248212667, -74.00194678870298 40.64754966944615, -74.00195351674616 40.647537711356605, -74.0019624875839 40.64752575322839, -74.00198267209662 40.647503545213404, -74.00200173599436 40.647488169442674, -74.00200285795766 40.64748731483173, -74.0020039787387 40.647486461121375, -74.00200509954543 40.647486461101835, -74.00200622150865 40.647485606490925, -74.00200846548655 40.64748560645177, -74.0020095850852 40.64748475184081, -74.00201407185867 40.64748475176232, -74.00201519269112 40.64748560633408, -74.00201743548675 40.64748560629478, -74.00201967833404 40.64748731453757, -74.00202079914078 40.647487314517896, -74.00202304317052 40.647489022760666, -74.00202304319643 40.64748987735206)))",218,Outdoor,B087,38,B,Sunset Park,Wading,7178.88894653,329.590729035
"MULTIPOLYGON (((-73.93929173097892 40.70199231965841, -73.93956344286326 40.701973558198375, -73.93957212018495 40.702077400800576, -73.93957673920423 40.70213267755599, -73.93957726595377 40.70213898321789, -73.9394451098058 40.70214763432484, -73.93931256076002 40.702156310287265, -73.93930865933531 40.70215656487607, -73.93930325112308 40.7021040882863, -73.93929265874645 40.7020013081587, -73.93929173097892 40.70199231965841)))",219,Outdoor,B310,34,B,Bushwick Pool,Intermediate,4526.76141357,270.813975666
"MULTIPOLYGON (((-74.00575448529534 40.729913936863184, -74.00558131908686 40.729894363829246, -74.00562809776189 40.72962021703947, -74.00580360265816 40.7296433504967, -74.00575448529534 40.729913936863184)))",220,Outdoor,M038,3,M,Tony Dapolito Pool,Intermediate,4898.09100342,298.125009959
"MULTIPOLYGON (((-73.93353726402825 40.84285187314309, -73.93353165567578 40.84283734946101, -73.93391795013277 40.842317403383575, -73.93393595013053 40.84231228808751, -73.93420801379189 40.84242775173413, -73.93421362175397 40.842443983619496, -73.93382958454062 40.84295880816454, -73.93381045941142 40.84296477556478, -73.93353726402825 40.84285187314309)))",221,Outdoor,M037,10,M,Highbridge,Wading,21051.218277,628.043172309
"MULTIPOLYGON (((-73.77464744602112 40.79208144797279, -73.77477718388967 40.79226790582518, -73.77467925544555 40.79231298362243, -73.77461548431982 40.79222744440365, -73.77449277245111 40.79228955702379, -73.7744155920395 40.79218178414612, -73.77462718238698 40.79209165878015, -73.77464744602112 40.79208144797279)))",222,Outdoor,Q458,19,Q,Totten Pool,Intermediate,4261.29458618,303.792622733
"MULTIPOLYGON (((-73.93942195973301 40.81301760459302, -73.93931197838853 40.81297021120259, -73.93944564866158 40.812791152718596, -73.93955562980447 40.81283854688339, -73.93942195973301 40.81301760459302)))",223,Indoor,M131,9,M,Hansborough Pool,Intermediate,2624.9984436,219.999988843
"MULTIPOLYGON (((-73.96523512712491 40.75649985778592, -73.96514787129142 40.75662000203598, -73.96497724354374 40.75654833310964, -73.96506450550416 40.756428204298004, -73.96523512712491 40.75649985778592)))",224,Indoor,M130,5,M,Recreation Center 54 Pool,Intermediate,2700.19371033,208.007430419
"MULTIPOLYGON (((-74.0744260066376 40.63701642067428, -74.07419412655466 40.63703941489477, -74.0741558498576 40.63677748937041, -74.07439173486122 40.636760583746614, -74.0744260066376 40.63701642067428)))",225,Outdoor,R043,49,R,Lyons,Diving,6195.55717468,320.365546503
"MULTIPOLYGON (((-73.98889991631764 40.771443024798835, -73.98879429531148 40.77158605229365, -73.98868499138774 40.77154014927093, -73.98878973267273 40.77139599616076, -73.98889991631764 40.771443024798835)))",226,Indoor,M063,6,M,Gertrude Ederle Pool,Intermediate,2083.42388916,189.347582971
"MULTIPOLYGON (((-73.96044558102045 40.71500614105379, -73.96037876663927 40.715097129963524, -73.96014794947753 40.71499968890909, -73.96020641563837 40.71491293054617, -73.96044558102045 40.71500614105379)))",227,Indoor,B085,34,B,Metropolitan Pool,Intermediate,2712.4080658,221.162826891
"MULTIPOLYGON (((-73.9243317391972 40.83187011841632, -73.92424432794945 40.83202191056841, -73.92399724785112 40.8319389213931, -73.9240810214763 40.831789887948425, -73.9243317391972 40.83187011841632)))",228,Outdoor,X034,16,X,Mullaly Pool,Intermediate,4478.86959839,269.452502502
"MULTIPOLYGON (((-73.92436334618219 40.83178990956443, -73.92428887954301 40.831762107451574, -73.92432880687552 40.831702664077504, -73.9244080172112 40.83173227026389, -73.92436334618219 40.83178990956443)))",229,Outdoor,X034,16,X,Mullaly Pool,Wading,575.945907593,96.0742602709
"MULTIPOLYGON (((-73.9428721714268 40.80513046258067, -73.94289565724564 40.8052688457336, -73.94278549051661 40.8052781860119, -73.94274055574844 40.805244853358026, -73.94273161548243 40.805184204838305, -73.94275975489545 40.805140657193206, -73.9428721714268 40.80513046258067)))",230,Outdoor,M058,9,M,Marcus Garvey Pool,Diving,1946.94241333,170.160900642
"MULTIPOLYGON (((-73.94389242993952 40.804986681266804, -73.94390359224545 40.804996403828966, -73.94391248699326 40.80500739419645, -73.94391886966926 40.80501935024908, -73.94392256481513 40.80503194332028, -73.94392347085136 40.80504482723195, -73.94392156286979 40.805057647810685, -73.94391689331846 40.805070052623925, -73.94390959056005 40.8050817006681, -73.9438998553434 40.80509227174276, -73.94388795528506 40.80510147525283, -73.94387421751273 40.805109058197, -73.94385901967264 40.80511481212263, -73.94384277954818 40.80511857885622, -73.94382594357504 40.80512025485142, -73.94380897456877 40.805119794035676, -73.94379233900204 40.805117209076684, -73.94377649418125 40.805112571034115, -73.94376187567522 40.805106007406295, -73.94374888534148 40.80509769862518, -73.9437381373994 40.80508731782443, -73.94372985238047 40.805075706320736, -73.94372426854098 40.80506319803352, -73.94372154645734 40.80505015267151, -73.94372176440848 40.805036945388096, -73.94372491612492 40.80502395599298, -73.94373091096928 40.80501155802974, -73.94373957654291 40.80500010803351, -73.94375066364387 40.80498993527812, -73.94376385343348 40.80498133230693, -73.94377876660539 40.804974546520015, -73.94379497429343 40.80496977305978, -73.94381201040473 40.80496714919896, -73.9438293850233 40.80496675039326, -73.94384659849867 40.80496858811135, -73.94386315581426 40.80497260950502, -73.94387858082293 40.80497869892906, -73.94389242993952 40.804986681266804)))",231,Outdoor,M058,9,M,Marcus Garvey Pool,Wading,2456.91757202,175.935242144
"MULTIPOLYGON (((-73.91132173775014 40.76079550198099, -73.91125808600428 40.760762987059685, -73.9113338054693 40.76066937572952, -73.91139605755818 40.760700825136055, -73.91132173775014 40.76079550198099)))",232,Outdoor,Q014,22,Q,PS 10 Pool,Mini,840.33102417,122.159303684
"MULTIPOLYGON (((-74.00211124195569 40.74837807390652, -74.00192827987186 40.74830183485846, -74.00200853309536 40.748190441771314, -74.00219149496512 40.74826668159363, -74.00211124195569 40.74837807390652)))",233,Indoor,M260,3,M,Chelsea Pool,Intermediate,2675.05961609,208.164983772
"MULTIPOLYGON (((-73.96518981197781 40.75654472978259, -73.96503295012468 40.756476861626844, -73.96512934084232 40.75634803755569, -73.96528620249029 40.756415905581434, -73.96518981197781 40.75654472978259)))",234,Indoor,M130,5,M,Recreation Center 59 Pool,Intermediate,2700.00413513,208.000174708
"MULTIPOLYGON (((-73.83812069670134 40.7521642759763, -73.83760234351743 40.75194693652913, -73.83774524028371 40.751749840362336, -73.83826359358429 40.751967179174294, -73.83812069670134 40.7521642759763)))",235,Indoor,Q099,21,Q,Flushing Meadows Corona Park Pool & Rink,Olympic,13447.9808807,491.99980164
"MULTIPOLYGON (((-73.83758862545363 40.75193956274508, -73.83707027575423 40.75172222089656, -73.8372131736127 40.7515251253834, -73.8377315234288 40.751742466596724, -73.83758862545363 40.75193956274508)))",236,Indoor,Q099,21,Q,Flushing Meadows Corona Park Pool & Rink,Diving,13447.9809113,491.999801666
"MULTIPOLYGON (((-73.77459923591847 40.79237945089427, -73.77460035048688 40.79238201500562, -73.7746003273526 40.792388847978856, -73.77459919543325 40.79239140859743, -73.77459918675937 40.792393970512165, -73.77459805654529 40.79239567745701, -73.77459692462881 40.792398237175085, -73.77459467117505 40.79239994102276, -73.77459354096386 40.792401647067024, -73.7745845271474 40.79240846245715, -73.77458227658349 40.7924093126332, -73.77457889870135 40.79241101428139, -73.77457664932521 40.79241186355917, -73.77457327552132 40.79241271063763, -73.77456990342309 40.79241270404231, -73.77456765167096 40.79241355511622, -73.77456090984427 40.79241354192977, -73.77455866388577 40.79241268205871, -73.77455529297244 40.79241267546527, -73.7745519237651 40.79241181519802, -73.77454967898558 40.792410957130066, -73.77454631096634 40.79241009596449, -73.77454406908095 40.79240838332454, -73.77454182311979 40.79240752435368, -73.77453285676155 40.79240067469615, -73.77453174101358 40.79239810968135, -73.77453062355333 40.792396400141264, -73.77452839205783 40.79239127011158, -73.77452841520257 40.79238443623787, -73.77452730063689 40.79238187212583, -73.77452731510202 40.792377601067315, -73.77452957893959 40.79237248163251, -73.7745295876192 40.79236991881731, -73.77453184225843 40.7923682149732, -73.77453297536486 40.79236565435762, -73.77453522763415 40.79236395050881, -73.77453635784313 40.79236224536557, -73.774540864754 40.79235883677195, -73.77454424263446 40.7923571351248, -73.77454649319711 40.79235628494955, -73.77454986989243 40.79235458329991, -73.77455212045182 40.792353734025035, -73.7745554954379 40.7923528869495, -73.7745588663482 40.79235289354292, -73.77456111809535 40.792352043369654, -73.77456785991582 40.79235205655608, -73.77457122793238 40.79235291772109, -73.77457460002759 40.79235292431638, -73.77457684599037 40.79235378238613, -73.77458358321189 40.792355503817305, -73.7745858250965 40.792357216456445, -73.77458806868682 40.79235807542188, -73.77459143618633 40.7923597893618, -73.77459367688343 40.792361502899, -73.77459479552651 40.792363213341304, -73.77459703452139 40.79236577965169, -73.77459815197979 40.79236749009166, -73.77459923591847 40.79237945089427)))",247,Outdoor,Q458,19,Q,Totten Pool,Wading,361.457489014,68.4903052524
"MULTIPOLYGON (((-73.97061762023354 40.69045107050077, -73.97054377518172 40.69046004414807, -73.97052757945087 40.69034987751617, -73.9705999450806 40.69034202734174, -73.97061762023354 40.69045107050077)))",248,Outdoor,B253,35,B,PS 20 Playground Pool,Mini,823.965621948,121.425674741
