"Borough","Neighborhood","measurement"
"Queens"," Central Queens"," 11367"
"Queens"," Jamaica"," 11432"
"Queens"," Northwest Queens"," 11103"
"Queens"," West Central Queens"," 11379"
"Queens"," Rockaways"," 11693"
"Queens"," Southeast Queens"," 11411"
"Queens"," Southwest Queens"," 11416"
"Queens"," West Queens"," 11370"
"Stanten Island"," Port Richmond"," 10310"
"Stanten Island"," South Shore"," 10308"
"Stanten Island"," Stapleton and St. George"," 10305"
"Bronx"," Hunts Point and Mott Haven"," 10474"
"Bronx"," Northeast Bronx"," 10475"
"Bronx"," Southeast Bronx"," 10465"
"Brooklyn"," Central Brooklyn"," 11233"
"Brooklyn"," Borough Park"," 11230"
"Brooklyn"," Southern Brooklyn"," 11235"
"Brooklyn"," Northwest Brooklyn"," 11217"
"Brooklyn"," Flatbush"," 11226"
"Manhattan"," Central Harlem"," 10037"
"Manhattan"," Chelsea and Clinton"," 10019"
"Manhattan"," Gramercy Park and Murray Hill"," 10022"
"Manhattan"," Lower Manhattan"," 10007"
"Manhattan"," Upper East Side"," 10065"
"Manhattan"," Inwood and Washington Heights"," 10034"
"Queens"," Northeast Queens"," 11364"
"Queens"," North Queens"," 11357"
"Queens"," Jamaica"," 11433"
"Queens"," Northwest Queens"," 11104"
"Queens"," West Central Queens"," 11385"
"Queens"," Rockaways"," 11694"
"Queens"," Southeast Queens"," 11413"
"Queens"," Southwest Queens"," 11417"
"Queens"," West Queens"," 11372"
"Stanten Island"," South Shore"," 10309"
"Bronx"," Southeast Bronx"," 10472"
"Brooklyn"," Central Brooklyn"," 11238"
"Brooklyn"," Northwest Brooklyn"," 11231"
"Manhattan"," Central Harlem"," 10039"
"Manhattan"," Chelsea and Clinton"," 10020"
"Manhattan"," Lower Manhattan"," 10038"
"Manhattan"," Upper East Side"," 10075"
"Manhattan"," Inwood and Washington Heights"," 10040"
"Queens"," North Queens"," 11358"
"Queens"," Jamaica"," 11434"
"Queens"," Northwest Queens"," 11105"
"Queens"," Rockaways"," 11695"
"Queens"," Southeast Queens"," 11422"
"Queens"," Southwest Queens"," 11418"
"Queens"," West Queens"," 11373"
"Stanten Island"," South Shore"," 10312"
"Bronx"," Southeast Bronx"," 10473"
"Manhattan"," Chelsea and Clinton"," 10036"
"Manhattan"," Lower Manhattan"," 10280"
"Manhattan"," Upper East Side"," 10128"
"Queens"," North Queens"," 11359"
"Queens"," Jamaica"," 11435"
"Queens"," Northwest Queens"," 11106"
"Queens"," Rockaways"," 11697"
"Queens"," Southeast Queens"," 11426"
"Queens"," Southwest Queens"," 11419"
"Queens"," West Queens"," 11377"
"Queens"," North Queens"," 11360"
"Queens"," Jamaica"," 11436"
"Queens"," Southeast Queens"," 11427"
"Queens"," Southwest Queens"," 11420"
"Queens"," West Queens"," 11378"
"Queens"," Southeast Queens"," 11428"
"Queens"," Southwest Queens"," 11421"
"Queens"," Southeast Queens"," 11429"
